,Id,Topic,Details,Item Type,Priority,LifeCycle,BSI Ticket #,Medinix Ticket#,ITUSS /SN Ticket,Labels
66,67,CTMS ITUSS Ticket template for placing configuration changes,"We need to discuss whether we use the current ITUSS ticket template 'DIA CTMS: REQUEST FOR SUPPORT - CONFIGURATION' also for requesting configuration changes or we create a new template.
Since both 'CTMS Business Support Network Process' and SOP say:
--> Super User initiates support incl. configuration change request to CTMS Support Team via IT USS, I suggest that we use one template for both purposes. Configuration Admins of both BAs+Medinix already have access to the group GLOB-SAG-CIM STUDY DATA EXPERT-AMS.",Topic,Medium,,,,,
67,68,Update userId on CTMS side,Update userId on CTMS side for 3 accounts that has been created manually in order to make it possible to change possible role via UAM ,Topic,Medium,,235500,,,
70,71,Removing a user,User no longer works at Roche. I went in UAM and revoked CTMS roles. Do I need to do anything further?,Topic,Medium,,,,,
71,72,"Affiliate user needs to be assigned, but no organization","I went in to add a new Roche organization, but cannot find the post code. Please advise now to move forward:
Roche Diagnostics (Pty) Ltd
90 Bekker Road
Building E
Hertford Office Park
Vorna Valley
Midrand
1686
South Africa",Topic,Medium,,,,IM15426405,
72,73,Show certain milestones,,Topic,Low,,,,,
73,74,Roche legacy DE,"People start updating facilities that have a blank / dummy address (city = ""Roche legacy DE""). Why were organizations migrated like this?",Topic,Medium,,,,,
74,75,Roles allowed to be approved,"Sometimes, it is requested to grant multiple roles to a person, e.g. study sponsor and site member. Is that OK? What are the combinations not allowed?",Topic,Low,,,,,
75,76,Responsible person changed to BSI Admin,"After adding approver as the same person as responsible, system automatically changed responsible person to BSI Admin.
",Topic,Medium,,235501,,IM15406665,
76,77,Central Monitoring list updated in the first go-live week: General Administration → Dynamic Fields → Monitor Visit → Performed Tasks--> overwritten by patch 1.0.1???,,Topic,Medium,,,,,
78,79,Not able to copy detail error message in interface logs,When trying to copy details of the error message in Inteface log only PK can be copied. Sometimes it's necessery to copy the detailed error message in order to send it to other support teams.,Topic,Low,,,,,
79,80,TRN not accessible at the moment,,Bug,High,,235635,,,
80,81,2 tickets submitted by end users rather than super users,I have been contacted twice to help answer tickets that were submitted by an end user rather than Super User. I thought these were declined and the user was told to address the question to the super user. Thoughts?,Topic,Medium,,,,,
81,82,Unspecified but Editable Status under Documents for Trials,"Under Trails (RD003186) -> Documents -> Study Protocol -> Status and Dates -> Status
The Status field is not mandatory but editable. There are no suggested options. But it is not free text either because when ""complete"" is typed in, a popup message says ""No suggestions for 'complete'"". It is ok to leave it open. But confusion might be caused to end users. This is for document type Linked Document External. SU Emma Tao via ITUSS",Bug,Low,,235701,,IM15431713,
82,83,External Link used under Trail Documents for DiaDoc documents,"Under Trail and Document, we are given the option to link external documents and provide a URL. For the DiaDoc documents, eg. Study Protocol, Study Plan etc., we copy the URL for the open document and paste in CTMS. However, this URL has an expiration. The link does not work after certain period of time. What is the proper way to link DiaDoc documents in CTMS? SU Emma Tao via ITUSS",Topic,Medium,,,,IM15432389,
83,84,Removal of potential role in CTMS,What is the correct procedure? Directly in CTMS or via UAM?,Topic,Medium,,,,,
84,85,CTMS eTMF interface error,Error while uploading Site Qualification Visit report ot eTMF fro Binder Template: Study Site Level File (RMD)_Master List Template. Clasification in CTMS for document template is Site Qualification Report however there is a missing placeholder in eTMF,Bug,High,3,,"MX#1015435
MX#1016092",IM15434161,
85,86,Alert for missing AE information in 2017 appearing in dashboard despite NA entry,"Affected user Cristina Pratt-Knoll

Determine if ""Not Applicable"" is checked, should it affect the alert behavior or not. The higher level question is - should it be mandatory to track Adverse events? If yes, is it okay to remove the ""not Applicable"" option altogether.",Bug,Medium,,235714,,IM15437029,
86,87,Inventory Management and Contract Module Issues,"Recently, our team discovered an issue related to uploading new inventory lists into CTMS. Our team, including our business admins, were all informed that CTMS would remove all of the old items in CTMS and only utilize the items on the new uploaded list. However, when this was tested in CTMS, we found that all the old items were instead made ""inactive"" but remained as duplicates within the system. Therefore, the user could still search to find these items, which allows for the possibility of creating orders of inactivated items, as well as creating inventories consisting of items that are marked as ""inactive"" in the system.
SU Felix Austin via ITUSS

Adjust Granting Matrix to exclude possibility for Contract Manager role to update inventory item TYPES, which is an admin-level task (they will still be able to process inventory items)
Discuss the role assignments for Logistics Manager with respect to handling inventory item TYPES, which is and admin-level task (currently 12 people)",Bug,Low,10,235722,MX#1016712,,
87,88,CTMS Template mistake for Site Initiation Visit Report ,"Error in Site Initiation Visit Report - Concat Date(s) have listed CI_evtStartDDMonYYYY twice, instead of listing the End Date.",Bug,High,5,,MX#1015991,"SD06305505
C02739312",
88,89,Organization zip code - how to update,Unclear how zip codes can be updated,Topic,High,,,,,
89,90,Organization zip code - non-numeric zip codes not displayed,"Japanese zip codes contain alphanumeric characters, e.g. ""Graduate School of Medicine and Faculty of Medicine Kyoto University"" has a zip code of 606-8501, however, it is not displayed in organization form, although value has been accepted. Is this a bug?",Topic,Low,,236107,MX#1015603,,
91,92,Configure 6 CPS document templates that were submitted late.,"See documents here:
https://drive.google.com/open?id=1Rcph7uKH2bh-dVA2HUOl7E0IEKXkKFdn",Topic,High,3,,"MX#1015435
MX#1016092","SD06312427
C02746779",
92,93,2 documents had errors and updated version should be configured: Hold Form and DOA,"See documents here:
https://drive.google.com/open?id=1Rcph7uKH2bh-dVA2HUOl7E0IEKXkKFdn",Story,Medium,3,,"MX#1015435
MX#1016092",SD06309362,
93,94,IIS/AIS Coordinator role restricts users to see only what has been assigned. They want to see all trials within their team.,"A user notified me today that his team user SR in a way that let them all see each others trials within the IIS/AIS team. How can we do this with the way our system is currently setup?
BSI suggested a new role which can be assigned by the responsible person. It is possible to configure this role to be assigned as many times as needed.",Story,Low,,,MX#1015767,SD06309362,
95,96,"Number of assigned ""Study Manager"" role should be limited to 1 ","- clean-up of studies having two SMs in accordance with study team
- update configuration",Story,Low,8,,"MX#1015187
MX#1016498",,
100,101,Inventory Items,Discussion of ticket IM15438104,Bug,Medium,,235722,,IM15438104,
101,102,Duplicate sites?,Site ID: CNGGZ001,Topic,Medium,,,,,
102,103,Substituion Matrix issue,"User with roles CRO-CRA, Co-CRO-CRA and Clinical Trail Support cannot select subtitute who is only CRO-CRA and Co-CRO-CRA.
Bug or intended behaviour.
According to Substitution Matrix Clicnical Trial Support can only be substituted by Clinical Trail Support
A configuration admin I'm able to make such substitution.",Bug,Medium,,235920,,C02750217,BPT
104,105,Inventory Items,Can you place an order based on inactivated inventory items?,Topic,High,,235722,,IM15438104 ,
105,106,"CTMS Document upload to eTMF issue
","When CRAs perform site qualification visits, using CTMS with CTMS-eTMF connection enabled, CTMS-eTMF interface searches for a placeholder in eTMF RMD master template. However, historically we have filed these site qualification visit reports under study binder because of one reason - if a site does not qualify to be used, we do not want to create an eTMF site binder as we pay for license by each site. 
How can we go around this issue? Can we make CTMS file a site level document at study level in eTMF?",Topic,Medium,,,,,
106,107,TST Data Cleanup,"For a PoC & setting up replication into CIW, all production data needs to be removed from the Test environment. How to accomplish this best?",Topic,Medium,,,,,
107,108,Good Documentation Practice,"How do we handle and document data change requests and which information goes into the ""Reason for change""",Topic,Medium,,,,,
108,109,Approval by SM with Co-CRA role,"This is about Study Managers who also have the Co-CRA role.  There are times when the SM 
will go to conduct a monitoring visit at the site as the Co-CRA and complete the questionnaire 
however in the system the Author cannot be the same as the Approver.  
User  tried to add the Study Manager role as the Approver but the person who is listed as the 
Co-CRA does not appear in the list of the SM.",Topic,Medium,,,,,
109,110,EP Version History Data Deletion,"The EP Version history that was migrated from Masterfile has been deleted for 2 EP's by 2 different users when they selected ""Not Applicable"" in CTMS. 1. Can you please undo the deletion and restore the version history? (PK:1000338810 and 1000348376) 2. Can you please remove the ""Not Applicable"" button or make sure that when it is ticked that the data is not deleted. 3. Can you please check, why John Burden who is a Study Manager and not a Functional Rep can update an EP (such as selecting himself as the responsible person and changing the version history)?",Bug,Medium,,236335,MX#1016498,IM15491644 (INC0109308),
110,111,End Users creating request,End User created request (which should be incident) instead of SU. As he told he did it because SU told him to do it.,Topic,Medium,,,,,
111,112,Request for Information on Substitution,,Topic,Medium,,,,,
112,113,Unclear origin of data,"Data clean-up regarding sample, subject and visit data for the two affected sites. How to resolve ERROR P19? And is there a way to multi-select visits for deletion?",Topic,Medium,,236100,,IM15462695,
115,116,Alerts in Personal dashboard,"Author's signature needed
Related to MV (113)",Topic,Medium,,236014,,IM15462695,
116,117,User interface question within questionnaire,"When a user toggles through the questionnaire questions with the keyboard, it doesn't update the question accordingly. Users were wondering if this could be taken for consideration in future improvements",Topic,Medium,,,,,
118,119,Any input regarding the ticket covering the configuration issue with a question in SQV 05.04 (IM15498354),User submitted ticket on 31OCT but hasn't rec'd a response. Has this topic been discussed in Hypercare?,Topic,High,8,,MX#1016498,IM15498354,
119,120,Baseline dates for Milestones,Do we have logic built to support this? Can we autodefault to not include these columns? ,Topic,High,,,,,
120,121,"how to resolve alerts for user Hawk, Breanne due to visits after migration","RD003141, site USCHS005_User had to add 2 visits after CTMS launched for dates prior to CTMS launch. Questionnaires will not be done in CTMS",Topic,Medium,,,,,
122,123,Granting - Global Management Role,"Global Management Role is not able to see Firewall studies or Evaluation Plans (URGENT): Granting Matrix seems to be set up correctly, but maybe interferring with the role granting matrix?",Bug,High,8,,MX#1016498,,Operations
123,124,Public Posting Manager should have Global Read All in PROD,Urgently required otherwise PPM will not get informed about new studies,Bug,Medium,4,,MX#1015839,"SD06343067
C02778949",
124,125,Granting - Global Management Role can't see EPs,Global Management Role is not able to see Evaluation Plans (URGENT),Bug,Medium,,,,,
125,126,Option 1 - Inventory ,BSI to help CPS implement Inventory solution (option 1). Do we have timelines to this?,Topic,High,,,,db script part INC0061108,
126,127,Questionnaire review process question,"If the Reviewer selects ""Report requires revision"" and the user can modify all questions. If the Approver selects ""Report requires revision"", it approves all questions. Is this a bug or normal?",Topic,Medium,,,,,
128,129,Quarterly tracking update alert for TRIAL in status complete/analysis/post-analysis (affected user is Ann S.),"@IT, was this ticket closed or are you still working on this?",Bug,Medium,,235818,MX#1016498,IM15431630,
129,130,eTMF interface,"Deletion and re-creation of RD003541. This is a study which has not started yet and has almost no information apart from trial dialogue and a few milestone planned dates (no sites, no persons, no visits, etc.) The study manager would like to use the eTMF interface for this study, which is currently not possible for migrated trials. So he has asked if it would it be an option to delete and re-create the study in CTMS? ",Topic,Medium,,,,,
131,132,"Merging of Organizations - ""in use"" message","Trying to merge two specific organization, a message is displayed
""ORS_SITE"".""COMPANY_NR"".Value '1000362586' is already used.

The organization to merge are:
Master:    1000362586
Follower: 1008850581",Topic,Medium,,,MX#1015865,,
132,133,Alerts in system,Proposal: communication of release functionality via alert in system. Thoughts?,Topic,Low,,,,,
133,134,Ppt report configuration is strange,"Number of subject planned: #  The number of subjects planned enrolled.
Number of samples planned:  The number of samples planned collected",Topic,High,,,,,
134,135,Multiple tickets for the same issue,We have multiple tickets (error P19) for the same issue which will be resolved in newest release. Need agreement how to deal with such tickets.,Topic,High,,,,,
135,136,Wrong name and email for investigator,"User has been added during migration. According to SU John Burden. Information about user should be as follows: Surname should be: Ordonez-Llanos
Email should be JOrdonez@santpau.cat

Address should be:

Hospital de Sant Pau
Professor Clinical Biochemistry, Universitat Autònoma
Sant Quintí 89
Bloc B-2
08041 Barcelona, Spain
Phone : +34 636 48 74 44 ",Topic,Low,,,MX#1015976,C02792258,
136,137,Responsible Role has changed to BSI Admin,"No workflow changes possible anymore. Old value Weinberger, Jan-Philipp. New value: BSI Admin. Submitted by SU Ekaterina Bauer",Topic,High,,,,C02792299,
137,138,CTMS Search for Trials,"When an RTD users first logs into CTMS to search for Trials the default checkbox is RMD and not RTD.
",Story,High,,,, SD06374830 (C02807373),
138,139,CTMS Reports,"- The report freezes every time I try to pull a large set of data.
- The results of more than one parameter are clubbed under one column. For example: if you add the site name, address, responsible person., they all appear in one cell under one column.
-  Certain parameters don't appear as an option even though the data is available in the system. examples: 
First case tested (site level) 
Last case tested (site level) 
Protocol approved (study level) 
Study start notification (site level) 
Study report approved (CSR) (study level)   ",Story,High,,,,,
139,140,CTMS Reports,Adding columns creates error C18,Bug,Low,,"237244
237736 ",,IM15575825,
140,141,Approval process for visit reports,Request from CPS Super Users to have the review go to both Reviewer and Approver before coming back to the Author. Not sure how people feel about this or if the system would even allow it?,Topic,Medium,,,,,
141,142,User completed training before UAM role assigned.,"Will his name still show on the training completion list so you can give him access? habashym (user name), AIS/IIS Coordinator role

GengQin is aware of this topic and should follow-up with user if there are any issues. Please confirm access by EOB 21NOV",Topic,Medium,,,,,
142,143,Approver changed status to final before reviewer ticked off review box,,Topic,Medium,,237808,,IM15619858,
143,144,Person Updates,Unclear how to configure disallowing updates of persons,Topic,High,,,,,
145,146,Person's address,It is possible to store a person's address vs. the address of the employer. Use Case?,Topic,High,,,,,
146,147,Escalation path,Who feels responsible for issues arising from person/organization review?,Topic,High,,,,,
148,149,Alert E-Mail Notification Enabled,"is set to yes in VAL, however, no effect in user options, i.e. alert options are greyed out",Topic,Medium,,,,,
149,150,Strange Trial Setup,RD002557,Topic,High,,,,,
150,151,3rd Review Round,,Topic,Medium,,,,,
151,152,Shipment Log Form - Fields?,Unclear where to find fields related to shipment information for usage in document template,Topic,Medium,,,,,
152,153,Sponsor is not in the drop-down menu,"Please add Genentech as possible Sponsor to choose from. 

for example fro the Study RD002557 needed, but should be possible to choose for all studies.
Requested by SU LENKE",Topic,Medium,,,,C02798295,
153,154,How to change incorrect assignment of Trial to DVP,,Topic,Medium,,,,,
154,155,Granting Matrix question,"Can an evaluation plan creator also delete an EP (and consequently all the trials, sites, visits etc beneath the EP) based on the current granting matrix? Global Management can still not see EPs.",Topic,Medium,8,,MX#1016498,,
156,157,Adding new country,[Sudan] missing in the system,Topic,High,,,,SD06374862 ,
157,158,Changing short name for Organization,"Request from SU DRIGGEJ1:The site name has been entered as NEOGEN, but the correct name is NeoGenomics.  Can this be corrected?  ",Topic,Medium,,,MX#1016144,C02804362,
158,159,SQV Question 5.04,"Was misconfigured -> What is the status now?
Seems to be missing from the report document now.",Topic,High,6,,MX#1016147,IM15498354,
159,160,"Make ""Employment Type"" visible as column and in advanced search",Can this be done by config Admin or does this need to be done by BSI?,Topic,Medium,,237798,,IM15620051 (REQ0037094),
160,161,E-mail notification not effective,"Do not get E-mail, e.g. of substitutes, or summary",Topic,Medium,3,238031,"MX#1015435
MX#1016092",,
161,162,Secondary Id in doc templates,"n/a, if empty?",Topic,Medium,,,,,
162,163,Email address not valid,"Error for Email address ​​​""calonsot@fundacio-puigvert.es"":
""E-Mail: Invalid E-Mail Address""",Topic,Medium,,,,,
163,164,"What will happen if I click on ""Clean Granting Matrix"" ? Will it clean all granting check marks? :-)",,Topic,Medium,,,,,
164,165,EP version included in details but missing in dashboard,"User has details updated under EP (DVP_ACCU CHEK Inform 3_ACI3), but the dashboard is not updating accordingly. I tested in TRN and it worked. Maybe a bug?",Topic,Medium,,,,,
165,166,SU follwed directed from IM15550685 (236951) but issue still not resolved,"RD003476 - Actual #s could not be added on trial level. Ticket said the user must delete all entries on trial and site level in order to change the setup, so the user did this, but still unable to make changes or select ""samples tested"". ",Topic,Medium,,236951,,IM15550685 ,
166,167,Trial updates not showing in ppt overview,"RD001546, RD001547_When SMa moved the location of the content to the top of the details list, it stayed at the bottom in the report. Is this how it is configured?",Topic,Medium,,,,,
168,169,"RD003483, Site USTNL001",Strange outcome in Samples table of COV report. BSI investigated during call and confirmed that the configuration is likely incorrect for trials/sites that includes collected data but not tested data. ,Bug,Medium,8,,MX#1016498,,
169,170,Remaining action items from the Support Workshop need to be completed ASAP. ,https://docs.google.com/spreadsheets/d/1OdAxk_NaEmOJMx2Yja2yWAhIpsLggu4KFig0f6x8PKE/edit?usp=sharing,Topic,Medium,,,,,
171,172,#233892 Update of Study Matrix per Oct 1.,"Study matrix will not be effective by 01OCT; therefore we will wait until further notice for this action

When is the new date effective?",Topic,High,,,,,
172,173,Central Monitoring list must be updated according to business requirements,"See spreadsheet here: https://drive.google.com/open?id=1LLs2t-v7cyyIAo7OxjuI-FOl0i_FJIAR

It has now been confirmed by Business that this list should be updated as soon as possible. We will move forward with the appropriate process_27SEP2018",Topic,High,10,,MX#1016712,,
174,175,New configuration changes to Inventory environment from CPS,"-Add dynamic fields to allow for multiple tracking numbers
-Kits will have multiple items. How can we show this in an inventory budget? A: You can define attributes for further tracking details, but this needs to be determined how it will be used by Business. Only Admins can do this.  ",Story,High,9,,MX#1016498,,
175,176,Secondary ID in header will be blank when “NA” is selected in CTMS. Is this a problem with Quality bc there shouldn’t be any blank fields on documents?,"Check with Sigrid if this is an easy fix
Will be handled in first Patch release",Topic,High,,,,,
176,177,Quality question regarding ticket 234244 Modify Trial Configuration options for Monitor Visit Questionnaire that is covered in the first patch release,,Topic,High,,,,,
177,178,Adoption Metrics,"
https://docs.google.com/document/d/1FNOf2cb4MTu6rzxothWzljCUmwmzQZVmED71Am2p6xw/edit?usp=sharing",Topic,High,,,,,
178,179,Assignment matrix to be reviewed,"CRAs are able to create an operator for their site, but unable to assign. The Assignment Matrix needs to be reviewed as a whole and updated if applicable.",Topic,High,8,,MX#1016498,,
